word,count,timestamp
to,121,2018-08-07 23:45:00.945641
a,94,2018-08-07 23:45:00.945641
of,82,2018-08-07 23:45:00.945641
this,56,2018-08-07 23:45:00.945641
you,50,2018-08-07 23:45:00.945641
by,48,2018-08-07 23:45:00.945641
for,48,2018-08-07 23:45:00.945641
in,47,2018-08-07 23:45:00.945641
or,41,2018-08-07 23:45:00.945641
with,39,2018-08-07 23:45:00.945641
your,35,2018-08-07 23:45:00.945641
on,34,2018-08-07 23:45:00.945641
i,29,2018-08-07 23:45:00.945641
from,27,2018-08-07 23:45:00.945641
—,24,2018-08-07 23:45:00.945641
tim,24,2018-08-07 23:45:00.945641
how,23,2018-08-07 23:45:00.945641
here,22,2018-08-07 23:45:00.945641
comments,21,2018-08-07 23:45:00.945641
episode,21,2018-08-07 23:45:00.945641
ferriss,20,2018-08-07 23:45:00.945641
that,20,2018-08-07 23:45:00.945641
it,20,2018-08-07 23:45:00.945641
show,19,2018-08-07 23:45:00.945641
my,19,2018-08-07 23:45:00.945641
which,19,2018-08-07 23:45:00.945641
more,19,2018-08-07 23:45:00.945641
can,18,2018-08-07 23:45:00.945641
as,16,2018-08-07 23:45:00.945641
have,16,2018-08-07 23:45:00.945641
to,121,2018-08-08 10:16:03.337220
a,94,2018-08-08 10:16:03.337220
of,82,2018-08-08 10:16:03.337220
this,56,2018-08-08 10:16:03.337220
you,50,2018-08-08 10:16:03.337220
by,48,2018-08-08 10:16:03.337220
for,48,2018-08-08 10:16:03.337220
in,47,2018-08-08 10:16:03.337220
or,41,2018-08-08 10:16:03.337220
with,39,2018-08-08 10:16:03.337220
your,35,2018-08-08 10:16:03.337220
on,34,2018-08-08 10:16:03.337220
i,29,2018-08-08 10:16:03.337220
from,27,2018-08-08 10:16:03.337220
—,24,2018-08-08 10:16:03.337220
tim,24,2018-08-08 10:16:03.337220
how,23,2018-08-08 10:16:03.337220
here,22,2018-08-08 10:16:03.337220
comments,21,2018-08-08 10:16:03.337220
episode,21,2018-08-08 10:16:03.337220
ferriss,20,2018-08-08 10:16:03.337220
that,20,2018-08-08 10:16:03.337220
it,20,2018-08-08 10:16:03.337220
show,19,2018-08-08 10:16:03.337220
my,19,2018-08-08 10:16:03.337220
which,19,2018-08-08 10:16:03.337220
more,19,2018-08-08 10:16:03.337220
can,18,2018-08-08 10:16:03.337220
as,16,2018-08-08 10:16:03.337220
have,16,2018-08-08 10:16:03.337220
to,121,2018-08-08 10:16:36.520959
a,94,2018-08-08 10:16:36.520959
of,82,2018-08-08 10:16:36.520959
this,56,2018-08-08 10:16:36.520959
you,50,2018-08-08 10:16:36.520959
by,48,2018-08-08 10:16:36.520959
for,48,2018-08-08 10:16:36.520959
in,47,2018-08-08 10:16:36.520959
or,41,2018-08-08 10:16:36.520959
with,39,2018-08-08 10:16:36.520959
your,35,2018-08-08 10:16:36.520959
on,34,2018-08-08 10:16:36.520959
i,29,2018-08-08 10:16:36.520959
from,27,2018-08-08 10:16:36.520959
—,24,2018-08-08 10:16:36.520959
tim,24,2018-08-08 10:16:36.520959
how,23,2018-08-08 10:16:36.520959
here,22,2018-08-08 10:16:36.520959
comments,21,2018-08-08 10:16:36.520959
episode,21,2018-08-08 10:16:36.520959
ferriss,20,2018-08-08 10:16:36.520959
that,20,2018-08-08 10:16:36.520959
it,20,2018-08-08 10:16:36.520959
show,19,2018-08-08 10:16:36.520959
my,19,2018-08-08 10:16:36.520959
which,19,2018-08-08 10:16:36.520959
more,19,2018-08-08 10:16:36.520959
can,18,2018-08-08 10:16:36.520959
as,16,2018-08-08 10:16:36.520959
have,16,2018-08-08 10:16:36.520959
